date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:10	168236/168236	---M-Z	200	added ('OK')	text/html	etag:%222912c-5f64e09f3e7b0-gzip%22	https://coderthemes.com/ubold/layouts/default/index.html	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/default/index.html	(from )
14:41:10	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Jun%202024%2014:41:11%20GMT	https://coderthemes.com/robots.txt		(from )
14:41:12	115407/115407	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c2cf-5e1506f2f9c50%22	https://coderthemes.com/ubold/layouts/default/assets/images/favicon.ico	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/default/assets/images/favicon.ico	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:12	16166/16166	---M-Z	200	added ('OK')	text/css	etag:%223f26-5f64e55ec60aa-gzip%22	https://coderthemes.com/ubold/layouts/assets/libs/flatpickr/flatpickr.min.css	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/assets/libs/flatpickr/flatpickr.min.css	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:13	10947/10947	---M-Z	200	added ('OK')	text/css	etag:%222ac3-5f64e55edb86a-gzip%22	https://coderthemes.com/ubold/layouts/assets/libs/selectize/css/selectize.bootstrap3.css	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/assets/libs/selectize/css/selectize.bootstrap3.css	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:13	3674/3674	---M-Z	200	added ('OK')	application/javascript	etag:%22e5a-5f64e09f36aaf-gzip%22	https://coderthemes.com/ubold/layouts/default/assets/js/head.js	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/default/assets/js/head.js	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:13	322709/322709	---M-Z	200	added ('OK')	text/css	etag:%224ec95-5f64e09f33bcf-gzip%22	https://coderthemes.com/ubold/layouts/default/assets/css/bootstrap.min.css	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/default/assets/css/bootstrap.min.css	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:14	133070/133070	---M-Z	200	added ('OK')	text/css	etag:%22207ce-5f64e09f33bcf-gzip%22	https://coderthemes.com/ubold/layouts/default/assets/css/app.min.css	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/default/assets/css/app.min.css	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:14	4933/4933	---M--	200	added ('OK')	image/png	etag:%221345-5f64e09f35b0f%22	https://coderthemes.com/ubold/layouts/default/assets/images/logo-light.png	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/default/assets/images/logo-light.png	(from https://coderthemes.com/ubold/layouts/default/index.html)
14:41:14	574649/574649	---MCZ	200	added ('OK')	text/css	etag:%228c4b9-5f64e55e75f68-gzip%22	https://coderthemes.com/ubold/layouts/assets/css/icons.min.css	C:/Users/RAPHAEL/Documents/HttpTracktest/coderthemes.com/ubold/layouts/assets/css/icons.min.css	(from https://coderthemes.com/ubold/layouts/default/index.html)
